x;y
476867;2154797
476867;2154897
476867;2154997
476867;2155097
476867;2155197
476867;2155297
476867;2155397
476967;2154597
476967;2154697
476967;2154797
476967;2154897
476967;2154997
476967;2155097
476967;2155197
476967;2155297
476967;2155397
476967;2155497
476967;2155597
476967;2155697
476967;2155797
476967;2155897
476967;2155997
476967;2156097
477067;2154397
477067;2154497
477067;2154597
477067;2154697
477067;2154797
477067;2154897
477067;2154997
477067;2155097
477067;2155197
477067;2155297
477067;2155397
477067;2155497
477067;2155597
477067;2155697
477067;2155797
477067;2155897
477067;2155997
477067;2156097
477067;2156197
477067;2156297
477067;2156397
477067;2156497
477067;2156597
477167;2154297
477167;2154397
477167;2154497
477167;2154597
477167;2154697
477167;2154797
477167;2154897
477167;2154997
477167;2155097
477167;2155197
477167;2155297
477167;2155397
477167;2155497
477167;2155597
477167;2155697
477167;2155797
477167;2155897
477167;2155997
477167;2156097
477167;2156197
477167;2156297
477167;2156397
477167;2156497
477167;2156597
477167;2156697
477267;2154197
477267;2154297
477267;2154397
477267;2154497
477267;2154597
477267;2154697
477267;2154797
477267;2154897
477267;2154997
477267;2155097
477267;2155197
477267;2155297
477267;2155397
477267;2155497
477267;2155597
477267;2155697
477267;2155797
477267;2155897
477267;2155997
477267;2156097
477267;2156197
477267;2156297
477267;2156397
477267;2156497
477267;2156597
477267;2156697
477267;2156797
477367;2153997
477367;2154097
477367;2154197
477367;2154297
477367;2154397
477367;2154497
477367;2154597
477367;2154697
477367;2154797
477367;2154897
477367;2154997
477367;2155097
477367;2155197
477367;2155297
477367;2155397
477367;2155497
477367;2155597
477367;2155697
477367;2155797
477367;2155897
477367;2155997
477367;2156097
477367;2156197
477367;2156297
477367;2156397
477367;2156497
477367;2156597
477367;2156697
477367;2156797
477367;2156897
477467;2153897
477467;2153997
477467;2154097
477467;2154197
477467;2154297
477467;2154397
477467;2154497
477467;2154597
477467;2154697
477467;2154797
477467;2154897
477467;2154997
477467;2155097
477467;2155197
477467;2155297
477467;2155397
477467;2155497
477467;2155597
477467;2155697
477467;2155797
477467;2155897
477467;2155997
477467;2156097
477467;2156197
477467;2156297
477467;2156397
477467;2156497
477467;2156597
477467;2156697
477467;2156797
477467;2156897
477467;2156997
477567;2153797
477567;2153897
477567;2153997
477567;2154097
477567;2154197
477567;2154297
477567;2154397
477567;2154497
477567;2154597
477567;2154697
477567;2154797
477567;2154897
477567;2154997
477567;2155097
477567;2155197
477567;2155297
477567;2155397
477567;2155497
477567;2155597
477567;2155697
477567;2155797
477567;2155897
477567;2155997
477567;2156097
477567;2156197
477567;2156297
477567;2156397
477567;2156497
477567;2156597
477567;2156697
477567;2156797
477567;2156897
477567;2156997
477567;2157097
477667;2153697
477667;2153797
477667;2153897
477667;2153997
477667;2154097
477667;2154197
477667;2154297
477667;2154397
477667;2154497
477667;2154597
477667;2154697
477667;2154797
477667;2154897
477667;2154997
477667;2155097
477667;2155197
477667;2155297
477667;2155397
477667;2155497
477667;2155597
477667;2155697
477667;2155797
477667;2155897
477667;2155997
477667;2156097
477667;2156197
477667;2156297
477667;2156397
477667;2156497
477667;2156597
477667;2156697
477667;2156797
477667;2156897
477667;2156997
477667;2157097
477667;2157197
477767;2153497
477767;2153597
477767;2153697
477767;2153797
477767;2153897
477767;2153997
477767;2154097
477767;2154197
477767;2154297
477767;2154397
477767;2154497
477767;2154597
477767;2154697
477767;2154797
477767;2154897
477767;2154997
477767;2155097
477767;2155197
477767;2155297
477767;2155397
477767;2155497
477767;2155597
477767;2155697
477767;2155797
477767;2155897
477767;2155997
477767;2156097
477767;2156197
477767;2156297
477767;2156397
477767;2156497
477767;2156597
477767;2156697
477767;2156797
477767;2156897
477767;2156997
477767;2157097
477767;2157197
477767;2157297
477867;2153397
477867;2153497
477867;2153597
477867;2153697
477867;2153797
477867;2153897
477867;2153997
477867;2154097
477867;2154197
477867;2154297
477867;2154397
477867;2154497
477867;2154597
477867;2154697
477867;2154797
477867;2154897
477867;2154997
477867;2155097
477867;2155197
477867;2155297
477867;2155397
477867;2155497
477867;2155597
477867;2155697
477867;2155797
477867;2155897
